customer_id,customer_name,email,country
1,Customer 1,customer1@email.com,VN
2,Customer 2,customer2@email.com,vn
3,Customer 3,customer3@email.com,Viet Nam
4,Customer 4,customer4@email.com,USA
5,Customer 5,customer5@email.com,VN
6,Customer 6,customer6@email.com,vn
7,Customer 7,customer7@email.com,vietnam
8,Customer 8,customer8@email.com,VN
9,Customer 9,customer9@email.com,us
10,Customer 10,customer10@email.com,us
11,Customer 11,customer11@email.com,us
12,Customer 12,customer12@email.com,us
13,Customer 13,customer13@email.com,vn
14,Customer 14,customer14@email.com,vn
15,Customer 15,customer15@email.com,VN
16,Customer 16,customer16@email.com,us
17,Customer 17,customer17@email.com,us
18,Customer 18,customer18@email.com,Viet Nam
19,Customer 19,customer19@email.com,VN
20,Customer 20,customer20@email.com,us
21,Customer 21,customer21@email.com,vietnam
22,Customer 22,customer22@email.com,VN
23,Customer 23,customer23@email.com,VN
24,Customer 24,customer24@email.com,USA
25,Customer 25,customer25@email.com,us
26,Customer 26,customer26@email.com,vn
27,Customer 27,customer27@email.com,VN
28,Customer 28,customer28@email.com,us
29,Customer 29,customer29@email.com,USA
30,Customer 30,customer30@email.com,VN
31,Customer 31,customer31@email.com,USA
32,Customer 32,customer32@email.com,us
33,Customer 33,customer33@email.com,vn
34,Customer 34,customer34@email.com,Viet Nam
35,Customer 35,customer35@email.com,vn
36,Customer 36,customer36@email.com,us
37,Customer 37,customer37@email.com,us
38,Customer 38,customer38@email.com,vietnam
39,Customer 39,customer39@email.com,Viet Nam
40,Customer 40,customer40@email.com,VN
41,Customer 41,customer41@email.com,USA
42,Customer 42,customer42@email.com,USA
43,Customer 43,customer43@email.com,Viet Nam
44,Customer 44,customer44@email.com,VN
45,Customer 45,customer45@email.com,USA
46,Customer 46,customer46@email.com,vietnam
47,Customer 47,customer47@email.com,vietnam
48,Customer 48,customer48@email.com,USA
49,Customer 49,customer49@email.com,USA
50,Customer 50,customer50@email.com,VN
51,Customer 51,customer51@email.com,vn
52,Customer 52,customer52@email.com,Viet Nam
53,Customer 53,customer53@email.com,Viet Nam
54,Customer 54,customer54@email.com,us
55,Customer 55,customer55@email.com,Viet Nam
56,Customer 56,customer56@email.com,VN
57,Customer 57,customer57@email.com,vn
58,Customer 58,customer58@email.com,VN
59,Customer 59,customer59@email.com,us
60,Customer 60,customer60@email.com,vietnam
61,Customer 61,customer61@email.com,VN
62,Customer 62,customer62@email.com,USA
63,Customer 63,customer63@email.com,vietnam
64,Customer 64,customer64@email.com,USA
65,Customer 65,customer65@email.com,VN
66,Customer 66,customer66@email.com,vietnam
67,Customer 67,customer67@email.com,vn
68,Customer 68,customer68@email.com,Viet Nam
69,Customer 69,customer69@email.com,VN
70,Customer 70,customer70@email.com,vn
71,Customer 71,customer71@email.com,vietnam
72,Customer 72,customer72@email.com,us
73,Customer 73,customer73@email.com,USA
74,Customer 74,customer74@email.com,Viet Nam
75,Customer 75,customer75@email.com,vn
76,Customer 76,customer76@email.com,Viet Nam
77,Customer 77,customer77@email.com,USA
78,Customer 78,customer78@email.com,Viet Nam
79,Customer 79,customer79@email.com,Viet Nam
80,Customer 80,customer80@email.com,USA
81,Customer 81,customer81@email.com,VN
82,Customer 82,customer82@email.com,VN
83,Customer 83,customer83@email.com,USA
84,Customer 84,customer84@email.com,us
85,Customer 85,customer85@email.com,Viet Nam
86,Customer 86,customer86@email.com,USA
87,Customer 87,customer87@email.com,Viet Nam
88,Customer 88,customer88@email.com,us
89,Customer 89,customer89@email.com,VN
90,Customer 90,customer90@email.com,vietnam
91,Customer 91,customer91@email.com,USA
92,Customer 92,customer92@email.com,Viet Nam
93,Customer 93,customer93@email.com,us
94,Customer 94,customer94@email.com,USA
95,Customer 95,customer95@email.com,vn
96,Customer 96,customer96@email.com,vietnam
97,Customer 97,customer97@email.com,vn
98,Customer 98,customer98@email.com,USA
99,Customer 99,customer99@email.com,vietnam
100,Customer 100,customer100@email.com,us
